"approve","content_id","content_title","path","grade","relation_type","keyword","external_id","name","content_type_id","category","address","region","latitude","longitude","first_image","recommend_order","note"
"","282631","명량","D-지명","B","HISTORICAL","명량대첩","607417","명량대첩축제","15","축제공연행사","전남광주통합특별시 진도군 군내면 명량대첩로 11","전남광주통합특별시","34.5690469324","126.3034327394","https://tong.visitkorea.or.kr/cms/resource/71/4100271_image2_1.JPG","2",""
"","282631","명량","A-제목","B","FILMING","명량","1624311","명량해협 울돌목","12","관광지","전남광주통합특별시 진도군 군내면 녹진리","전남광주통합특별시","34.5717059772807","126.305303120209","https://tong.visitkorea.or.kr/cms/resource/08/3382008_image2_1.JPG","3",""
"","282631","명량","D-지명","B","HISTORICAL","명량대첩","231919","해남 명량대첩비","12","관광지","전남광주통합특별시 해남군 문내면 우수영안길 34","전남광주통합특별시","34.5844226722","126.3141468496","http://tong.visitkorea.or.kr/cms/resource/82/3391982_image2_1.JPG","4",""
"","343843","연평해전","D-지명","B","HISTORICAL","연평도","127412","연평도","12","관광지","인천광역시 옹진군 연평면 연평중앙로24번길 3","인천광역시","37.6648819182778","125.701999411438","https://tong.visitkorea.or.kr/cms/resource/62/4056062_image2_1.jpg","1",""
"","343843","연평해전","D-지명","B","HISTORICAL","서해수호","2649844","서해수호관","14","문화시설","경기도 평택시 포승읍 2함대길 122","경기도","19.69442748","117.9925662504","http://tong.visitkorea.or.kr/cms/resource/19/3543919_image2_1.JPG","2",""
"","361297","서부전선","D-지명","B","HISTORICAL","도라전망대","252560","도라전망대","12","관광지","경기도 파주시 장단면 제3땅굴로 310","경기도","37.9088872381","126.7047863286","","1","대표이미지 없음"
"","361297","서부전선","D-지명","B","HISTORICAL","임진각","3022911","임진각 수풀누리","12","관광지","경기도 파주시 문산읍 임진각로 148-40","경기도","37.8920134561571","126.744746405896","https://tong.visitkorea.or.kr/cms/resource/01/3022901_image2_1.jpg","2",""
"","361297","서부전선","D-지명","B","HISTORICAL","임진각","2724661","파주임진각평화곤돌라","12","관광지","경기도 파주시 문산읍 임진각로 148-73","경기도","37.8914501430484","126.740277129431","https://tong.visitkorea.or.kr/cms/resource/09/3487609_image2_1.jpg","3",""
"","361297","서부전선","D-지명","B","HISTORICAL","임진각","127548","파주 임진각(평화누리공원)","12","관광지","경기도 파주시 문산읍 임진각로 177","경기도","37.8895364868545","126.740185526631","https://tong.visitkorea.or.kr/cms/resource/31/3497231_image2_1.jpg","4",""
"","391734","마지막 위안부","없음","","","","","","","","","","0","0","","0","후보 0건 — 경로 D(지명) 수동 입력 필요"
"","407887","인천상륙작전","D-지명","B","HISTORICAL","인천상륙작전기념관","130060","인천상륙작전기념관","14","문화시설","인천광역시 연수구 청량로 138 (옥련동)","인천광역시","37.4194730393","126.6534906799","https://tong.visitkorea.or.kr/cms/resource/97/3037297_image2_1.jpg","1",""
"","407887","인천상륙작전","D-지명","B","HISTORICAL","월미도","127585","월미도","12","관광지","인천광역시 제물포구 월미문화로 36 (북성동1가)","인천광역시","37.4722","126.6001","https://tong.visitkorea.or.kr/cms/resource/94/3518594_image2_1.jpg","2",""
"","407887","인천상륙작전","D-지명","B","HISTORICAL","월미도","2781334","월미도해양관광  (월미도유람선)","12","관광지","인천광역시 제물포구 월미문화로 21","인천광역시","37.4764927683","126.5984916412","https://tong.visitkorea.or.kr/cms/resource/22/4096222_image2_1.jpg","3",""
"","407887","인천상륙작전","D-지명","B","HISTORICAL","월미도","2753119","월미도등대길","12","관광지","인천광역시 제물포구 북성동1가 120","인천광역시","37.4693074738","126.5951199488","https://tong.visitkorea.or.kr/cms/resource/58/3381758_image2_1.jpg","4",""
"","407887","인천상륙작전","D-지명","B","HISTORICAL","자유공원","125519","자유공원(인천)","12","관광지","인천광역시 제물포구 제물량로232번길 46","인천광역시","37.4752405648","126.6222615765","https://tong.visitkorea.or.kr/cms/resource/85/4061685_image2_1.jpg","5",""
"","437081","남한산성","D-지명","B","HISTORICAL","남한산성","3007368","남한산성 탐방로","12","관광지","경기도 광주시 남한산성면 산성리","경기도","37.4781","127.184","https://tong.visitkorea.or.kr/cms/resource/08/3551508_image2_1.jpg","1",""
"","437081","남한산성","D-지명","B","HISTORICAL","남한산성","612305","남한산성 전통음식마을","12","관광지","경기도 광주시 남한산성면 남한산성로 731","경기도","37.4767712288","127.1885044553","http://tong.visitkorea.or.kr/cms/resource/42/3061542_image2_1.jpg","2",""
"","437081","남한산성","D-지명","B","HISTORICAL","남한산성","1624958","남한산성 수어장대","12","관광지","경기도 광주시 남한산성면 산성리","경기도","37.4798","127.1765","https://tong.visitkorea.or.kr/cms/resource/69/3524569_image2_1.jpg","3",""
"","437081","남한산성","D-지명","B","HISTORICAL","남한산성","2751248","남한산성행궁","12","관광지","경기도 광주시 남한산성면 산성리 935-1","경기도","37.4788986337","127.181530029","http://tong.visitkorea.or.kr/cms/resource/56/3350256_image2_1.jpg","4",""
"","437081","남한산성","D-지명","B","HISTORICAL","남한산성","2751239","남한산성벚꽃길","12","관광지","경기도 광주시 남한산성면 검복길 11","경기도","37.4741799601","127.1939234816","","5","대표이미지 없음"
"","437081","남한산성","D-지명","B","HISTORICAL","삼전도비","231897","서울 삼전도비","12","관광지","서울특별시 송파구 삼학사로 136 (잠실동)","서울특별시","37.5091158401","127.0978839997","http://tong.visitkorea.or.kr/cms/resource/47/3401547_image2_1.JPG","6",""
"","535389","안시성","D-지명","B","HISTORICAL","아차산성","126518","아차산성","12","관광지","서울특별시 광진구 광장동","서울특별시","37.5588","127.1048","https://tong.visitkorea.or.kr/cms/resource/57/3514057_image2_1.jpg","1",""
"","535389","안시성","D-지명","B","HISTORICAL","고구려","4075415","고구려대장간마을","14","문화시설","경기도 구리시 우미내길 41 (아천동)","경기도","37.5608078747","127.1109491707","https://tong.visitkorea.or.kr/cms/resource/35/4075435_image2_1.jpg","2",""
"","535389","안시성","D-지명","B","HISTORICAL","고구려","3064998","고구려목장","12","관광지","경기도 파주시 적성면 어못내길 150-46","경기도","38.0011316368","126.9921684399","http://tong.visitkorea.or.kr/cms/resource/92/3064992_image2_1.jpg","3",""
"","535389","안시성","D-지명","B","HISTORICAL","고구려","1869407","고구려의 옛 흔적을 만나다","25","여행코스","","","38.0103331171","127.0631808906","","4","대표이미지 없음"
"","535389","안시성","D-지명","B","HISTORICAL","고구려","2011639","고구려의 역사가 깃든 충주로 떠나는 역사 여행","25","여행코스","","","37.0459512441","127.857656733","","5","대표이미지 없음"
"","535389","안시성","D-지명","B","HISTORICAL","고구려","1854557","고구려 온달 장군의 자취를 찾아서","25","여행코스","","","37.0032440603","128.383707423","","6","대표이미지 없음"
"","535389","안시성","D-지명","B","HISTORICAL","고구려","1874868","고구려 역사 되짚어보는 역사기행","25","여행코스","","","37.5804563244","127.130850634","","7","대표이미지 없음"
"","535389","안시성","D-지명","B","HISTORICAL","고구려","1938381","충주고구려비전시관","14","문화시설","충청북도 충주시 중앙탑면 감노로 2319","충청북도","37.0283295264","127.8482076062","http://tong.visitkorea.or.kr/cms/resource/07/3535007_image2_1.jpg","8",""
"","535389","안시성","D-지명","B","HISTORICAL","고구려","1689699","충주고구려천문과학관","14","문화시설","충청북도 충주시 중앙탑면 묘곡내동길 100","충청북도","37.040265648","127.848385568","https://tong.visitkorea.or.kr/cms/resource/83/3061883_image2_1.jpg","9",""
"","535389","안시성","D-지명","B","HISTORICAL","고구려","2779539","아차산 고구려정","12","관광지","서울특별시 광진구 구의동","서울특별시","37.5583","127.1023","https://tong.visitkorea.or.kr/cms/resource/29/3499229_image2_1.jpg","10",""
"","535389","안시성","D-지명","B","HISTORICAL","고구려","128786","방동리 고구려고분","12","관광지","강원특별자치도 춘천시 서면 방동리","강원특별자치도","37.903245","127.661143","","11","대표이미지 없음"
"","535389","안시성","D-지명","B","HISTORICAL","고구려","2568694","연천에서 만나는 고구려","25","여행코스","","","38.2126958124","127.1389535956","","12","대표이미지 없음"
"","567629","장사리: 잊혀진 영웅들","D-지명","B","HISTORICAL","장사상륙작전","2732161","장사상륙작전 전승기념관","14","문화시설","경상북도 영덕군 남정면 동해대로 3560","경상북도","36.2801354767","129.3789819656","http://tong.visitkorea.or.kr/cms/resource/17/3572817_image2_1.jpg","1",""
"","573791","봉오동 전투","D-지명","B","HISTORICAL","독립기념관","129790","독립기념관","14","문화시설","충청남도 천안시 동남구 목천읍 독립기념관로 1","충청남도","36.7818719998","127.2303981117","https://tong.visitkorea.or.kr/cms/resource/21/3450021_image2_1.jpg","1",""
"","588108","한산: 용의 출현","D-지명","B","HISTORICAL","한산도","127105","한산도","12","관광지","경상남도 통영시 한산면 두억리","경상남도","34.7783","128.4868","https://tong.visitkorea.or.kr/cms/resource/51/3513751_image2_1.jpg","1",""
"","588108","한산: 용의 출현","D-지명","B","HISTORICAL","제승당","2763965","제승당","12","관광지","경상남도 통영시 한산일주로 70 제승당","경상남도","34.7960941315","128.4744856404","http://tong.visitkorea.or.kr/cms/resource/14/3558314_image2_1.jpg","2",""
"","588108","한산: 용의 출현","D-지명","B","HISTORICAL","한산도","2784243","한산도유람선","12","관광지","경상남도 통영시 도남로 269-38 유람선터미널","경상남도","34.8286230961","128.4334216941","http://tong.visitkorea.or.kr/cms/resource/25/2787225_image2_1.jpg","3",""
"","588108","한산: 용의 출현","D-지명","B","HISTORICAL","한산도","126948","통영 한산도 이충무공 유적","12","관광지","경상남도 통영시 한산면 한산일주로 70","경상남도","34.7943331719","128.4719247986","http://tong.visitkorea.or.kr/cms/resource/24/3557924_image2_1.jpg","4",""
"","607844","모가디슈","없음","","","","","","","","","","0","0","","0","후보 0건 — 경로 D(지명) 수동 입력 필요"
"","610251","하얼빈","D-지명","B","HISTORICAL","안중근의사기념관","129794","안중근의사기념관","14","문화시설","서울특별시 중구 소월로 91 (남대문로5가)","서울특별시","37.5534661728908","126.980402427443","https://tong.visitkorea.or.kr/cms/resource/43/4062343_image2_1.jpg","1",""
"","65881","평양성","D-지명","B","HISTORICAL","아차산성","126518","아차산성","12","관광지","서울특별시 광진구 광장동","서울특별시","37.5588","127.1048","https://tong.visitkorea.or.kr/cms/resource/57/3514057_image2_1.jpg","1",""
"","65881","평양성","D-지명","B","HISTORICAL","온달산성","125978","단양 온달산성","12","관광지","충청북도 단양군 영춘면 하리","충청북도","37.0575755408596","128.484646133408","","2","대표이미지 없음"
"","660360","노량: 죽음의 바다","D-지명","B","HISTORICAL","충렬사","126662","충렬사(통영)","12","관광지","경상남도 통영시 여황로 251","경상남도","34.8466459874541","128.417434100219","","1","대표이미지 없음"
"","660360","노량: 죽음의 바다","D-지명","B","HISTORICAL","관음포","129480","남해 관음포 이충무공 유적","12","관광지","경상남도 남해군 고현면 남해대로 3829","경상남도","34.912547961","127.8573559204","http://tong.visitkorea.or.kr/cms/resource/55/3553955_image2_1.jpg","2",""
"","660360","노량: 죽음의 바다","D-지명","B","HISTORICAL","충렬사","128104","남해 충렬사","12","관광지","경상남도 남해군 설천면 노량로183번길 27","경상남도","34.9422116278","127.8761229565","http://tong.visitkorea.or.kr/cms/resource/94/3561794_image2_1.jpg","3",""
"","770322","태조 왕건","D-지명","B","HISTORICAL","개태사","125899","개태사(논산)","12","관광지","충청남도 논산시 연산면 계백로 2614-11","충청남도","36.2407281973","127.2293710155","http://tong.visitkorea.or.kr/cms/resource/77/3050177_image2_1.JPG","1",""
"","770322","태조 왕건","D-지명","B","HISTORICAL","궁예","4090474","태봉국 궁예왕 역사공원","12","관광지","강원특별자치도 철원군 철원읍 두루미로 1877-1","강원특별자치도","38.3074276895","127.2280413362","https://tong.visitkorea.or.kr/cms/resource/78/4090478_image2_1.JPG","2",""
"","919207","서울의 봄","D-지명","B","HISTORICAL","경복궁","126508","경복궁","12","관광지","서울특별시 종로구 사직로 161 (세종로)","서울특별시","37.5760307000494","126.976721866063","https://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg","1",""
"","919207","서울의 봄","D-지명","B","HISTORICAL","국립서울현충원","126521","국립서울현충원","12","관광지","서울특별시 동작구 현충로 210","서울특별시","37.5013020026689","126.973234928244","https://tong.visitkorea.or.kr/cms/resource/71/3531571_image2_1.jpg","2",""
"","919207","서울의 봄","D-지명","B","HISTORICAL","경복궁","2390314","한복남 경복궁점","12","관광지","서울특별시 종로구 사직로 133-5","서울특별시","37.5762891312","126.9733212169","http://tong.visitkorea.or.kr/cms/resource/80/3553780_image2_1.JPG","3",""
"","919207","서울의 봄","C-여행코스","B","HISTORICAL","경복궁 / 청계천을 돌아 경복궁에서 인사동까지","129507","청계천","12","관광지","서울특별시 종로구 창신동","서울특별시","37.5696470253","127.00507432","https://tong.visitkorea.or.kr/cms/resource_photo/34/3538134_image2_1.jpg","4",""
"","919207","서울의 봄","C-여행코스","B","HISTORICAL","경복궁 / 경복궁 북쪽마을 북촌 즐기기","126537","북촌한옥마을","12","관광지","서울특별시 종로구 계동길 37 (계동)","서울특별시","37.5790529392","126.9867060298","http://tong.visitkorea.or.kr/cms/resource/04/3304404_image2_1.jpg","5",""
"","94047","마이웨이","A-제목","B","FILMING","마이웨이","2747936","휴식&마이웨이리조트","12","관광지","경상남도 밀양시 산외면 엄광길 103-14","경상남도","35.5361364894","128.8016232618","http://tong.visitkorea.or.kr/cms/resource/37/2747537_image2_1.jpg","1",""
